DATE,VANGSP
1997-01-01,215101.7
1998-01-01,231384.0
1999-01-01,249801.1
2000-01-01,268470.9
2001-01-01,285635.9
2002-01-01,295355.7
2003-01-01,311665.7
2004-01-01,332115.1
2005-01-01,358069.7
2006-01-01,376235.7
2007-01-01,391699.8
2008-01-01,404634.9
2009-01-01,410967.4
2010-01-01,426992.4
2011-01-01,435180.3
2012-01-01,445973.6
2013-01-01,457640.5
2014-01-01,465181.8
2015-01-01,483786.5
2016-01-01,496021.1
2017-01-01,509892.8
2018-01-01,531757.1
2019-01-01,554305.8
2020-01-01,549535.8
