DATE,NHNGSP
1997-01-01,38206.6
1998-01-01,40554.0
1999-01-01,41955.2
2000-01-01,45342.0
2001-01-01,46817.5
2002-01-01,49059.9
2003-01-01,51637.6
2004-01-01,54918.2
2005-01-01,56952.6
2006-01-01,60017.0
2007-01-01,61782.1
2008-01-01,61700.2
2009-01-01,62522.9
2010-01-01,64843.6
2011-01-01,66153.2
2012-01-01,68498.1
2013-01-01,70476.2
2014-01-01,72995.2
2015-01-01,76478.0
2016-01-01,79090.1
2017-01-01,80665.9
2018-01-01,83844.0
2019-01-01,87507.6
2020-01-01,87621.0
