DATE,MDNGSP
1997-01-01,159372.1
1998-01-01,169982.1
1999-01-01,180261.6
2000-01-01,192021.4
2001-01-01,205981.0
2002-01-01,217837.1
2003-01-01,228959.3
2004-01-01,245124.5
2005-01-01,262100.0
2006-01-01,274145.3
2007-01-01,282965.6
2008-01-01,295400.2
2009-01-01,299102.7
2010-01-01,314728.3
2011-01-01,326281.2
2012-01-01,332523.5
2013-01-01,340577.6
2014-01-01,352761.3
2015-01-01,369728.1
2016-01-01,387733.4
2017-01-01,400406.0
2018-01-01,411099.8
2019-01-01,421609.5
2020-01-01,410674.7
